Team,Conference Wins,Conference Losses,Wins,Losses,Points For,Points Against,Streak
CLEMSON,8,0,14,1,659,203,Lost 1
LOUISVILLE,5,3,8,5,430,434,Won 1
WAKE FOREST,4,4,8,5,414,378,Lost 2
BOSTON COLLEGE,4,4,6,7,377,418,Lost 1
FLORIDA STATE,4,4,6,7,363,362,Lost 2
SYRACUSE,2,6,5,7,339,368,Won 1
NORTH CAROLINA STATE,1,7,4,8,265,361,Lost 6
VIRGINIA,6,2,9,5,449,380,Lost 2
VIRGINIA TECH,5,3,8,5,401,321,Lost 2
PITTSBURGH,4,4,8,5,275,292,Won 1
NORTH CAROLINA,4,4,7,6,430,308,Won 3
MIAMI (FL),4,4,6,7,334,263,Lost 3
DUKE,3,5,5,7,303,350,Won 1
GEORGIA TECH,2,6,3,9,200,389,Lost 1
MEMPHIS,7,1,12,2,566,370,Lost 1
NAVY,7,1,11,2,483,290,Won 4
SMU,6,2,10,3,544,434,Lost 1
TULANE,3,5,7,6,430,342,Won 1
HOUSTON,2,6,4,8,368,408,Lost 1
TULSA,2,6,4,8,317,376,Won 1
CINCINNATI,7,1,11,3,415,288,Won 1
UCF,6,2,10,3,564,299,Won 3
TEMPLE,5,3,8,5,342,337,Lost 1
SOUTH FLORIDA,2,6,4,8,250,347,Lost 4
EAST CAROLINA,1,7,4,8,321,404,Lost 1
CONNECTICUT,0,8,2,10,227,486,Lost 4
OKLAHOMA,8,1,12,2,590,382,Lost 1
BAYLOR,8,1,11,3,471,277,Lost 2
KANSAS STATE,5,4,8,5,385,278,Lost 1
OKLAHOMA STATE,5,4,8,5,422,348,Lost 2
TEXAS,5,4,8,5,458,357,Won 2
IOWA STATE,5,4,7,6,418,337,Lost 2
TCU,3,6,5,7,364,317,Lost 2
WEST VIRGINIA,3,6,5,7,247,346,Won 1
TEXAS TECH,2,7,4,8,366,364,Lost 3
KANSAS,1,8,3,9,282,433,Lost 4
OHIO STATE,9,0,13,1,656,192,Lost 1
PENN STATE,7,2,11,2,465,208,Won 2
MICHIGAN,6,3,9,4,412,269,Lost 2
INDIANA,5,4,8,5,413,317,Lost 1
MICHIGAN STATE,4,5,7,6,291,293,Won 3
MARYLAND,1,8,3,9,303,416,Lost 7
RUTGERS,0,9,2,10,159,440,Lost 4
MINNESOTA,7,2,11,2,443,293,Won 1
WISCONSIN,7,2,10,4,477,237,Lost 2
IOWA,6,3,10,3,335,182,Won 4
ILLINOIS,4,5,6,7,347,340,Lost 3
NEBRASKA,3,6,5,7,336,333,Lost 1
PURDUE,3,6,4,8,310,367,Lost 2
NORTHWESTERN,1,8,3,9,196,283,Won 1
FLORIDA ATLANTIC,7,1,11,3,510,318,Won 7
WESTERN KENTUCKY,6,2,9,4,330,261,Won 4
MARSHALL,6,2,8,5,335,325,Lost 1
CHARLOTTE,5,3,7,6,388,421,Lost 1
FLORIDA INTERNATIONAL,3,5,6,7,344,354,Lost 2
MIDDLE TENNESSEE,3,5,4,8,316,359,Lost 1
OLD DOMINION,0,8,1,11,195,358,Lost 11
LOUISIANA TECH,6,2,10,3,422,284,Won 2
UAB,6,2,9,5,324,302,Lost 2
SOUTHERN MISS,5,3,7,6,346,341,Lost 3
NORTH TEXAS,3,5,4,8,367,390,Lost 3
UTSA,3,5,4,8,244,407,Lost 3
RICE,3,5,3,9,215,311,Won 3
UTEP,0,8,1,11,235,431,Lost 11
NOTRE DAME,0,0,11,2,478,233,Won 6
